
2025/03/21 (11:36:01) | ===> btop++ v.1.4.0
2025/03/21 (11:36:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (11:36:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (11:36:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (11:36:23) | ===> btop++ v.1.4.0
2025/03/21 (11:36:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (11:36:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (11:36:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (23:01:00) | ===> btop++ v.1.4.0
2025/03/22 (23:01:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (21:55:43) | ===> btop++ v.1.4.0
2025/03/24 (21:55:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/24 (21:55:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/24 (21:55:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (10:39:42) | ===> btop++ v.1.4.0
2025/03/25 (10:39:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (10:39:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/25 (10:39:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (10:39:57) | ===> btop++ v.1.4.0
2025/03/25 (10:39:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (10:39:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/25 (10:39:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (10:40:14) | ===> btop++ v.1.4.0
2025/03/25 (10:40:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (10:40:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/25 (10:40:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (11:43:39) | ===> btop++ v.1.4.0
2025/03/25 (11:43:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (11:43:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/25 (11:43:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (15:07:26) | ===> btop++ v.1.4.0
2025/03/25 (15:07:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (15:07:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/25 (15:07:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (16:08:18) | ===> btop++ v.1.4.0
2025/03/25 (16:08:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (16:08:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/25 (16:08:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (17:03:55) | ===> btop++ v.1.4.0
2025/03/25 (17:03:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (17:03:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/25 (17:03:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (08:54:25) | ===> btop++ v.1.4.0
2025/03/28 (08:54:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (08:54:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/28 (08:54:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (23:56:48) | ===> btop++ v.1.4.0
2025/03/30 (23:56:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/30 (23:56:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/30 (23:56:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (23:58:26) | ===> btop++ v.1.4.0
